Pair	Ctcf_E_Gm12878	Dnase_E_Gm12878	H3k27ac_E_Gm12878	H3k27me3_E_Gm12878	H3k36me3_E_Gm12878	H3k4me1_E_Gm12878	H3k4me2_E_Gm12878	H3k4me3_E_Gm12878	H3k79me2_E_Gm12878	H3k9ac_E_Gm12878	H3k9me3_E_Gm12878	H4k20me1_E_Gm12878	RAD21_E_Gm12878	TBP_E_Gm12878	Ctcf_P_Gm12878	Dnase_P_Gm12878	H3k27ac_P_Gm12878	H3k27me3_P_Gm12878	H3k36me3_P_Gm12878	H3k4me1_P_Gm12878	H3k4me2_P_Gm12878	H3k4me3_P_Gm12878	H3k79me2_P_Gm12878	H3k9ac_P_Gm12878	H3k9me3_P_Gm12878	H4k20me1_P_Gm12878	RAD21_P_Gm12878	TBP_P_Gm12878	Ctcf_W_Gm12878	Dnase_W_Gm12878	H3k27ac_W_Gm12878	H3k27me3_W_Gm12878	H3k36me3_W_Gm12878	H3k4me1_W_Gm12878	H3k4me2_W_Gm12878	H3k4me3_W_Gm12878	H3k79me2_W_Gm12878	H3k9ac_W_Gm12878	H3k9me3_W_Gm12878	H4k20me1_W_Gm12878	RAD21_W_Gm12878	TBP_W_Gm12878	Ctcf_E_K562	Dnase_E_K562	H3k27ac_E_K562	H3k27me3_E_K562	H3k36me3_E_K562	H3k4me1_E_K562	H3k4me2_E_K562	H3k4me3_E_K562	H3k79me2_E_K562	H3k9ac_E_K562	H3k9me3_E_K562	H4k20me1_E_K562	RAD21_E_K562	TBP_E_K562	Ctcf_P_K562	Dnase_P_K562	H3k27ac_P_K562	H3k27me3_P_K562	H3k36me3_P_K562	H3k4me1_P_K562	H3k4me2_P_K562	H3k4me3_P_K562	H3k79me2_P_K562	H3k9ac_P_K562	H3k9me3_P_K562	H4k20me1_P_K562	RAD21_P_K562	TBP_P_K562	Ctcf_W_K562	Dnase_W_K562	H3k27ac_W_K562	H3k27me3_W_K562	H3k36me3_W_K562	H3k4me1_W_K562	H3k4me2_W_K562	H3k4me3_W_K562	H3k79me2_W_K562	H3k9ac_W_K562	H3k9me3_W_K562	H4k20me1_W_K562	RAD21_W_K562	TBP_W_K562	Ctcf_E_Huvec	Dnase_E_Huvec	H3k27ac_E_Huvec	H3k27me3_E_Huvec	H3k36me3_E_Huvec	H3k4me1_E_Huvec	H3k4me2_E_Huvec	H3k4me3_E_Huvec	H3k79me2_E_Huvec	H3k9ac_E_Huvec	H3k9me3_E_Huvec	H4k20me1_E_Huvec	RAD21_E_Huvec	TBP_E_Huvec	Ctcf_P_Huvec	Dnase_P_Huvec	H3k27ac_P_Huvec	H3k27me3_P_Huvec	H3k36me3_P_Huvec	H3k4me1_P_Huvec	H3k4me2_P_Huvec	H3k4me3_P_Huvec	H3k79me2_P_Huvec	H3k9ac_P_Huvec	H3k9me3_P_Huvec	H4k20me1_P_Huvec	RAD21_P_Huvec	TBP_P_Huvec	Ctcf_W_Huvec	Dnase_W_Huvec	H3k27ac_W_Huvec	H3k27me3_W_Huvec	H3k36me3_W_Huvec	H3k4me1_W_Huvec	H3k4me2_W_Huvec	H3k4me3_W_Huvec	H3k79me2_W_Huvec	H3k9ac_W_Huvec	H3k9me3_W_Huvec	H4k20me1_W_Huvec	RAD21_W_Huvec	TBP_W_Huvec	Ctcf_E_Hmec	Dnase_E_Hmec	H3k27ac_E_Hmec	H3k27me3_E_Hmec	H3k36me3_E_Hmec	H3k4me1_E_Hmec	H3k4me2_E_Hmec	H3k4me3_E_Hmec	H3k79me2_E_Hmec	H3k9ac_E_Hmec	H3k9me3_E_Hmec	H4k20me1_E_Hmec	RAD21_E_Hmec	TBP_E_Hmec	Ctcf_P_Hmec	Dnase_P_Hmec	H3k27ac_P_Hmec	H3k27me3_P_Hmec	H3k36me3_P_Hmec	H3k4me1_P_Hmec	H3k4me2_P_Hmec	H3k4me3_P_Hmec	H3k79me2_P_Hmec	H3k9ac_P_Hmec	H3k9me3_P_Hmec	H4k20me1_P_Hmec	RAD21_P_Hmec	TBP_P_Hmec	Ctcf_W_Hmec	Dnase_W_Hmec	H3k27ac_W_Hmec	H3k27me3_W_Hmec	H3k36me3_W_Hmec	H3k4me1_W_Hmec	H3k4me2_W_Hmec	H3k4me3_W_Hmec	H3k79me2_W_Hmec	H3k9ac_W_Hmec	H3k9me3_W_Hmec	H4k20me1_W_Hmec	RAD21_W_Hmec	TBP_W_Hmec	Ctcf_E_Nhek	Dnase_E_Nhek	H3k27ac_E_Nhek	H3k27me3_E_Nhek	H3k36me3_E_Nhek	H3k4me1_E_Nhek	H3k4me2_E_Nhek	H3k4me3_E_Nhek	H3k79me2_E_Nhek	H3k9ac_E_Nhek	H3k9me3_E_Nhek	H4k20me1_E_Nhek	RAD21_E_Nhek	TBP_E_Nhek	Ctcf_P_Nhek	Dnase_P_Nhek	H3k27ac_P_Nhek	H3k27me3_P_Nhek	H3k36me3_P_Nhek	H3k4me1_P_Nhek	H3k4me2_P_Nhek	H3k4me3_P_Nhek	H3k79me2_P_Nhek	H3k9ac_P_Nhek	H3k9me3_P_Nhek	H4k20me1_P_Nhek	RAD21_P_Nhek	TBP_P_Nhek	Ctcf_W_Nhek	Dnase_W_Nhek	H3k27ac_W_Nhek	H3k27me3_W_Nhek	H3k36me3_W_Nhek	H3k4me1_W_Nhek	H3k4me2_W_Nhek	H3k4me3_W_Nhek	H3k79me2_W_Nhek	H3k9ac_W_Nhek	H3k9me3_W_Nhek	H4k20me1_W_Nhek	RAD21_W_Nhek	TBP_W_Nhek	Distance	Count
chr17_10000000_10005000-chr17_10485000_10490000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	1.53706	1.12999	0.373586	3.70242	0.898655	0.959188	0.679927	0.770687	0.406224	1.05498	1.16217	1.90286	1.09602	0.568722	1.66749	1.91339	0.869553	2.10122	0.926651	1.93327	1.27871	1.3014	0.43972	1.24164	1.83274	1.59452	2.2493	0.2532	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.660752	1.41554	0.190172	0.468408	1.3997	0.523696	0.478978	1.28067	0.285749	0.01	7.18382	0.559631	4.28647	0.01	1.23914	1.52884	0.460566	1.73585	1.16703	0.293732	0.802877	1.39604	0.257354	0.720071	2.27498	1.2127	1.06349	0.521186	1.16544	1.34786	0.401214	0.926863	0.940402	0.525887	0.640177	0.84133	0.270877	0.495228	4.09535	1.29597	1.86405	0.221836	1.37204	1.15933	0.849093	2.0779	0.77924	1.29881	0.996627	0.812224	0.319871	1.12904	5.22969	1.19784	4.35955	0.01	1.29665	1.08774	0.472236	1.67124	0.678689	0.638483	0.528467	0.698184	0.267283	1.46028	3.00821	1.4445	1.04719	0.532716	1.27086	0.892424	0.666449	1.15703	0.779945	0.679933	0.655108	0.95456	0.251866	0.931372	4.5671	1.23154	1.89748	0.231007	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	0.932481	0.886191	0.398599	2.90998	1.07669	0.460907	0.01	1.0041	0.258952	0.312242	1.89913	1.58643	1.05013	0.521118	1.62122	1.86162	0.507057	2.38708	0.823683	1.02819	0.918113	1.20521	0.302603	0.712881	2.17536	1.61501	2.00786	0.223659	480000	0.794069
chr17_10000000_10005000-chr17_10495000_10500000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	1.00633	1.29307	0.954678	3.30811	1.06649	1.58137	0.673544	0.593558	0.161214	0.691985	1.42061	2.35545	0.553171	0.564817	1.66336	1.89631	0.862965	2.1231	0.928381	1.90914	1.26486	1.2922	0.437111	1.24074	1.81905	1.59804	2.23734	0.253938	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.37204	1.15933	0.849093	2.0779	0.77924	1.29881	0.996627	0.812224	0.319871	1.12904	5.22969	1.19784	4.35955	0.01	1.23907	0.799998	0.369144	1.01014	0.852651	0.564868	0.547665	1.17452	0.273193	1.12909	3.47434	1.08966	0.554966	0.535413	1.2702	0.893276	0.662486	1.16112	0.78355	0.676109	0.651574	0.950567	0.252945	0.937471	4.54017	1.2332	1.89096	0.231831	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	0.4786	1.0008	0.284699	2.12266	0.721126	0.235453	0.373308	0.959594	0.294885	0.614334	2.51314	2.01636	0.546115	0.515339	1.6047	1.84591	0.506484	2.37999	0.824007	1.01817	0.904153	1.20173	0.301332	0.707789	2.17275	1.61317	1.9988	0.224515	490000	1.44392
chr17_10000000_10005000-chr17_10500000_10505000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	1.50026	1.56902	0.433715	4.3979	1.10831	0.787277	0.886702	1.17384	0.262371	0.856027	1.17238	2.31137	0.701882	0.01	1.65673	1.89021	0.863892	2.13507	0.929776	1.90583	1.25889	1.28515	0.434324	1.2352	1.81503	1.60569	2.22032	0.257078	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.660752	1.41554	0.190172	0.468408	1.3997	0.523696	0.478978	1.28067	0.285749	0.01	7.18382	0.559631	4.28647	0.01	1.46371	1.84803	1.18143	0.993017	1.01681	2.57832	2.22489	1.62715	0.277464	0.713035	1.85882	1.55663	0.581194	0.01	1.15371	1.33885	0.399392	0.939135	0.951962	0.527881	0.64687	0.848808	0.271144	0.502039	4.04264	1.29475	1.84354	0.225708	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	0.4786	2.11269	0.262689	2.72687	1.43217	1.81347	2.00039	1.06465	0.38944	1.41266	1.78812	1.72979	0.548138	0.01	1.59333	1.83737	0.504244	2.37739	0.822967	1.01026	0.898791	1.19929	0.301267	0.706845	2.17619	1.61725	1.98413	0.227452	495000	1.01006
chr17_10000000_10005000-chr17_10510000_10515000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	1.20859	1.43029	0.528186	2.29032	0.873973	0.701743	0.691143	1.09011	0.33737	1.2685	0.736572	1.59461	1.35038	0.01	1.65831	1.88709	0.854211	2.16279	0.93241	1.88397	1.24495	1.2789	0.431602	1.23252	1.80086	1.61955	2.2049	0.258178	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	0.84161	0.37654	0.644655	1.808	2.24975	0.411375	0.515145	0.557095	0.49304	0.312555	0.966625	1.4925	1.20693	0.01	1.03586	0.693982	0.647115	1.06241	0.987185	0.553604	0.506035	0.565882	0.461694	0.448996	0.888825	1.11744	1.90221	0.226985	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	505000	0.988541
chr17_10000000_10005000-chr17_10515000_10520000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	15.097	2.99963	0.433715	2.22359	0.796382	1.01487	0.633051	0.735694	0.368795	1.53693	0.580539	2.86037	7.0696	0.01	1.6539	1.88261	0.851015	2.16404	0.931838	1.87238	1.23952	1.27705	0.430678	1.23287	1.79043	1.6193	2.19652	0.255745	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	13.2175	3.9418	0.97016	0.92364	1.03597	0.633155	0.8788	1.10297	0.530445	0.900445	1.21018	1.76533	6.32538	0.01	1.03395	0.69087	0.647091	1.06972	0.999563	0.55221	0.506125	0.565796	0.462002	0.447658	0.889587	1.12111	1.89539	0.224858	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	510000	1.44238
chr17_10000000_10005000-chr17_10520000_10525000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	22.6627	3.36792	0.376457	1.58232	1.03607	1.40512	1.12285	1.45697	0.416379	1.62902	0.409172	2.28847	9.68069	0.01	1.78441	1.89346	0.846963	2.16462	0.930522	1.86406	1.23363	1.27179	0.430077	1.23583	1.77868	1.63135	2.24383	0.253359	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	17.1795	5.8106	2.12547	1.04159	0.83133	1.11163	1.56881	2.23225	0.99058	1.17332	0.674425	0.87557	8.64313	0.01	1.15224	0.722432	0.650227	1.0683	0.999916	0.552996	0.509743	0.571011	0.462666	0.452054	0.8927	1.12737	1.9384	0.222772	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.37204	1.15933	0.849093	2.0779	0.77924	1.29881	0.996627	0.812224	0.319871	1.12904	5.22969	1.19784	4.35955	0.01	19.2783	8.16596	5.68088	1.01016	1.15048	4.8591	2.51424	0.80689	0.431523	3.06403	0.787946	1.25459	9.20751	0.01	1.44104	0.904903	0.65798	1.17239	0.784304	0.68372	0.654158	0.945198	0.255864	0.94924	4.4301	1.24241	1.89548	0.231718	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	41.3339	4.64389	17.6675	0.46281	1.98445	10.3351	6.46765	3.93924	0.443766	7.17966	0.434874	0.869913	9.21322	0.01	1.87438	1.85907	0.509051	2.37672	0.829368	1.03027	0.903383	1.17537	0.304012	0.723079	2.14678	1.62	2.00133	0.224042	515000	1.29464
chr17_10000000_10005000-chr17_10525000_10530000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	1.77355	1.92008	0.470929	2.11617	0.951409	1.25602	0.595688	0.890534	0.330364	1.74518	0.778198	2.81667	3.51707	1.23605	1.98516	1.90764	0.842439	2.15902	0.931537	1.85964	1.23256	1.27357	0.429945	1.23961	1.76551	1.63767	2.31534	0.251019	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	1.151	0.96309	1.64835	2.08067	1.56993	0.721095	0.345575	1.02179	0.271045	0.54629	1.6161	1.22524	3.27229	1.03941	1.30635	0.771357	0.664412	1.06805	0.998295	0.558367	0.519926	0.586985	0.467742	0.45899	0.890601	1.12495	2.00287	0.220726	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.37204	1.15933	0.849093	2.0779	0.77924	1.29881	0.996627	0.812224	0.319871	1.12904	5.22969	1.19784	4.35955	0.01	2.74846	10.9611	28.5477	1.027	1.53751	10.9361	13.5058	4.87219	1.27756	13.6952	0.995594	0.780176	3.54926	1.1035	1.61256	0.974721	0.706277	1.17083	0.787825	0.723868	0.672043	0.943868	0.257553	0.969574	4.39508	1.24253	1.96579	0.229586	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	520000	1.27012
chr17_10000000_10005000-chr17_10530000_10535000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	15.2698	2.29166	0.627883	1.83448	1.6291	1.33939	0.231684	0.970161	0.269343	1.02505	0.58615	2.65141	7.66072	0.01	1.98315	1.90775	0.838901	2.15861	0.931727	1.85389	1.2265	1.26993	0.428997	1.24442	1.75611	1.6489	2.32679	0.2604	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.660752	1.41554	0.190172	0.468408	1.3997	0.523696	0.478978	1.28067	0.285749	0.01	7.18382	0.559631	4.28647	0.01	19.3323	3.0255	0.397708	0.900772	1.44819	0.797811	1.47783	0.650812	0.230641	0.719872	0.820691	1.65889	6.82062	0.01	1.61742	1.39125	0.410601	0.948712	0.94695	0.557395	0.669763	0.866304	0.269499	0.521616	3.87474	1.29499	1.93427	0.227926	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	525000	1.14046
chr17_10000000_10005000-chr17_10535000_10540000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	3.14205	5.02319	4.06262	1.63238	2.44115	12.2696	10.7231	5.27186	0.664703	2.83404	1.77341	3.53692	5.48794	1.4091	2.10849	1.91138	0.83691	2.15555	0.938306	1.84904	1.21711	1.2671	0.427491	1.24235	1.74507	1.65836	2.37711	0.258038	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	3.7075	0.96856	0.83581	1.47727	1.30525	1.131	1.31995	0.49694	0.909575	0.41112	1.09118	1.5627	4.14003	1.03999	1.43714	0.792299	0.677538	1.07904	1.00463	0.567363	0.522948	0.593126	0.471148	0.46059	0.898047	1.12727	2.06555	0.226461	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	2.31591	3.12202	0.495748	0.689213	3.76128	1.36272	1.09889	1.60019	0.859278	0.711478	1.17412	1.34277	4.48702	1.04864	2.45886	1.95515	1.32843	2.32966	0.873941	1.29734	1.21052	1.3046	0.333048	1.10845	2.10995	1.60694	2.1395	0.227834	530000	1.56911
chr17_10000000_10005000-chr17_10540000_10545000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	0.969371	1.72082	0.981133	1.37508	2.94914	1.14844	0.519668	1.03188	0.299835	0.647122	1.1622	2.27498	3.66467	0.01	2.11815	1.94046	0.867057	2.15066	0.952351	1.94643	1.30596	1.30453	0.429708	1.25723	1.74534	1.67591	2.40618	0.268796	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	0.819125	0.53172	0.82893	1.90501	2.37415	0.679475	0.809225	0.86221	0.642575	0.53381	1.07655	1.27875	3.2783	0.01	1.45836	0.793947	0.679017	1.08276	1.00744	0.572631	0.530397	0.592227	0.475245	0.460128	0.899852	1.13134	2.08494	0.234064	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.28455	2.30343	0.611787	4.30493	1.07669	1.13704	0.536203	1.0041	0.274239	0.945114	2.06921	2.86115	4.49928	0.01	0.710447	2.29592	0.398599	0.91562	3.56563	0.460907	0.711515	0.537447	0.433842	0.90826	1.03726	1.30598	3.19648	0.01	2.45752	1.96605	1.32065	2.31433	0.900925	1.29795	1.20948	1.30736	0.337966	1.10474	2.10121	1.60447	2.16144	0.235505	535000	1.56512
chr17_10000000_10005000-chr17_10545000_10550000	1.38264	1.95921	0.757089	2.42956	0.827738	1.12614	1.43133	1.19194	0.509839	1.32736	1.50863	1.56054	5.00953	0.01	9.23618	2.1198	0.70283	1.25742	2.30493	0.789312	0.554962	1.15156	0.91702	1.02162	0.954399	2.29548	3.76533	0.01	2.10752	1.93842	0.868113	2.14348	0.97084	1.93904	1.29867	1.302	0.428505	1.25158	1.73994	1.68146	2.41783	0.266399	0.71629	0.38359	0.743665	1.2399	1.06468	0.383045	0.256915	0.70027	0.333525	0.35442	0.696695	1.41639	4.34841	0.01	7.29855	4.41085	0.983735	1.96981	2.19065	0.88514	0.946265	0.43545	0.56845	0.445425	1.00268	1.32851	3.54381	0.01	1.45244	0.791518	0.680405	1.09037	1.0201	0.57362	0.532979	0.594727	0.476795	0.46081	0.901488	1.1327	2.09599	0.23199	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	540000	1.56015
