Pair	Ctcf_E-	Dnase_E-	H3k27ac_E-	H3k27me3_E-	H3k36me3_E-	H3k4me1_E-	H3k4me2_E-	H3k4me3_E-	H3k79me2_E-	H3k9ac_E-	H3k9me3_E-	H4k20me1_E-	RAD21_E-	TBP_E-	Ctcf_P-	Dnase_P-	H3k27ac_P-	H3k27me3_P-	H3k36me3_P-	H3k4me1_P-	H3k4me2_P-	H3k4me3_P-	H3k79me2_P-	H3k9ac_P-	H3k9me3_P-	H4k20me1_P-	RAD21_P-	TBP_P-	Ctcf_W-	Dnase_W-	H3k27ac_W-	H3k27me3_W-	H3k36me3_W-	H3k4me1_W-	H3k4me2_W-	H3k4me3_W-	H3k79me2_W-	H3k9ac_W-	H3k9me3_W-	H4k20me1_W-	RAD21_W-	TBP_W-	Distance-
chr17_10035000_10040000-chr17_10725000_10730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	4	3	2	2	1	0	2	3	0	5	8	4	3	6	1	8	3	7	1	4	1	3	1	12
chr17_10035000_10040000-chr17_10730000_10735000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	4	3	2	3	1	0	3	3	0	5	8	4	3	6	1	8	3	7	1	4	1	4	1	12
chr17_10035000_10040000-chr17_10780000_10785000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	3	3	2	1	1	0	2	3	0	4	7	4	3	6	1	7	2	7	1	4	1	2	1	11
chr17_10035000_10040000-chr17_10815000_10820000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	2	3	2	1	3	0	2	3	0	4	8	4	3	7	1	6	2	7	1	4	1	2	2	11
chr17_10035000_10040000-chr17_10840000_10845000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	1	2	3	2	1	3	1	3	3	0	4	8	4	2	7	1	6	2	7	1	4	1	2	2	11
chr17_10035000_10040000-chr17_10895000_10900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	1	2	3	2	1	3	1	3	3	0	4	8	4	2	7	1	6	2	7	1	4	1	2	2	11
chr17_10035000_10040000-chr17_10905000_10910000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	2	4	2	1	3	1	2	3	0	4	8	4	2	7	1	6	2	7	1	4	1	2	2	11
chr17_10070000_10075000-chr17_10085000_10090000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	3	2	2	1	2	3	7	3	1	1	1	3	5	6	1	7	1	7	3	7	0	4	0	4	3	14
chr17_10070000_10075000-chr17_10095000_10100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	3	1	1	2	1	2	4	1	0	2	1	3	4	5	1	6	0	5	3	7	0	4	1	4	3	14
chr17_10070000_10075000-chr17_10100000_10105000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	3	2	2	1	1	2	1	2	3	2	1	3	3	6	1	7	0	9	3	7	0	5	1	3	3	14
chr17_10070000_10075000-chr17_10125000_10130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	3	3	3	1	1	3	8	3	3	2	1	3	6	5	1	8	0	8	3	8	0	4	0	3	1	14
chr17_10070000_10075000-chr17_10135000_10140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	4	2	3	1	3	3	8	2	2	2	1	3	7	6	1	8	0	8	3	7	0	4	0	4	1	14
chr17_10070000_10075000-chr17_10155000_10160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	4	3	2	1	2	3	3	2	2	3	1	2	6	6	1	7	2	9	3	7	0	6	0	4	1	11
chr17_10070000_10075000-chr17_10175000_10180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	4	4	3	0	1	3	8	3	2	2	1	2	7	6	1	8	2	7	3	7	0	5	0	4	1	14
chr17_10070000_10075000-chr17_10195000_10200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	4	3	3	0	1	3	4	3	3	3	1	2	6	6	1	8	1	9	3	7	0	6	0	4	1	14
chr17_10070000_10075000-chr17_10200000_10205000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	4	4	2	0	2	3	9	3	2	2	1	2	8	5	1	8	1	7	3	7	0	4	0	3	2	14
chr17_10070000_10075000-chr17_10210000_10215000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	5	5	3	0	1	3	8	3	3	2	1	2	8	7	1	8	1	8	3	8	0	4	0	4	1	14
chr17_10070000_10075000-chr17_10225000_10230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	4	4	3	0	2	3	7	2	4	3	1	2	8	5	1	7	2	9	3	6	0	5	0	3	1	13
chr17_10070000_10075000-chr17_10275000_10280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	1	5	3	1	0	2	3	5	3	3	3	1	3	7	6	2	8	2	9	3	6	0	6	0	4	2	12
chr17_10070000_10075000-chr17_10280000_10285000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	5	4	2	1	3	3	8	2	3	3	1	3	8	7	1	8	2	8	3	6	0	6	0	4	2	14
chr17_10070000_10075000-chr17_10290000_10295000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	1	5	2	1	1	2	3	6	2	2	3	1	3	7	6	1	7	2	8	3	6	0	5	0	4	2	11
chr17_10070000_10075000-chr17_10330000_10335000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	1	2	2	1	3	2	1	2	3	1	5	7	5	2	7	0	7	3	6	0	4	0	3	2	12
chr17_10070000_10075000-chr17_10335000_10340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	1	2	3	1	4	2	1	2	3	1	5	7	5	2	6	1	7	3	6	0	4	0	4	2	11
chr17_10070000_10075000-chr17_10340000_10345000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	1	2	3	1	4	2	1	2	3	1	5	7	5	2	7	1	7	3	6	0	4	0	3	2	12
chr17_10070000_10075000-chr17_10380000_10385000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	4	2	1	3	1	1	5	4	1	3	5	7	3	5	1	7	4	4	2	4	3	2	2	9
chr17_10070000_10075000-chr17_10385000_10390000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	4	0	1	1	1	0	5	4	1	3	5	7	3	4	1	7	4	4	2	3	3	1	2	9
chr17_10070000_10075000-chr17_10390000_10395000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	4	1	2	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10070000_10075000-chr17_10400000_10405000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	3	1	1	1	0	4	4	1	4	7	7	3	6	1	7	4	6	2	3	3	1	2	9
chr17_10070000_10075000-chr17_10435000_10440000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	4	1	2	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	2	2	2	9
chr17_10070000_10075000-chr17_10475000_10480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	4	2	1	1	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10070000_10075000-chr17_10490000_10495000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	4	2	1	1	1	0	5	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10070000_10075000-chr17_10505000_10510000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	3	2	1	2	1	0	5	4	1	5	7	7	3	6	1	7	4	6	2	3	2	1	2	9
chr17_10070000_10075000-chr17_10575000_10580000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	3	1	2	1	0	5	4	1	5	6	7	4	5	0	6	4	6	2	3	2	2	2	9
chr17_10070000_10075000-chr17_10580000_10585000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	3	3	1	2	1	0	5	4	1	5	6	7	4	5	0	7	4	6	2	3	2	1	2	9
chr17_10070000_10075000-chr17_10600000_10605000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	3	2	2	2	2	0	4	4	0	5	6	6	3	6	0	9	3	8	2	5	2	1	2	10
chr17_10070000_10075000-chr17_10625000_10630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	0	4	3	2	4	2	0	3	3	0	4	9	4	4	7	1	9	3	7	1	4	1	4	1	12
chr17_10070000_10075000-chr17_10725000_10730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	6	0	4	4	2	3	1	0	2	3	0	5	8	4	3	6	1	8	3	7	1	4	1	3	1	12
chr17_10070000_10075000-chr17_10730000_10735000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	6	0	4	4	2	4	1	0	3	3	0	5	8	4	3	6	1	8	3	7	1	4	1	4	1	12
chr17_10070000_10075000-chr17_10760000_10765000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	4	0	3	3	2	2	2	0	3	3	0	5	8	4	3	6	1	7	3	7	1	4	1	3	2	12
chr17_10070000_10075000-chr17_10780000_10785000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	4	4	2	2	1	0	2	3	0	5	8	4	3	6	1	8	3	7	1	4	1	3	1	12
chr17_10070000_10075000-chr17_10815000_10820000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	2	4	2	1	2	0	2	3	0	4	7	4	3	6	1	6	2	7	1	4	1	2	2	11
chr17_10070000_10075000-chr17_10840000_10845000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	2	3	2	1	3	0	3	3	0	4	8	5	4	7	1	6	2	7	2	4	2	1	2	10
chr17_10070000_10075000-chr17_10905000_10910000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	2	3	2	0	3	0	2	3	0	4	8	5	3	6	0	6	2	7	2	3	2	1	2	10
chr17_10070000_10075000-chr17_11020000_11025000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	1	1	0	3	0	3	3	0	4	9	5	2	6	0	6	2	6	2	2	2	1	2	10
chr17_10070000_10075000-chr17_11030000_11035000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	1	0	3	0	3	4	0	4	7	6	2	6	0	7	2	6	2	3	2	1	3	10
chr17_10085000_10090000-chr17_10095000_10100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	1	1	0	0	1	0	2	3	0	3	4	8	0	4	0	7	3	6	0	3	0	1	3	9
chr17_10085000_10090000-chr17_10100000_10105000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	0	1	0	0	0	2	0	3	4	0	4	3	8	0	5	0	9	3	7	0	4	1	1	2	10
chr17_10085000_10090000-chr17_10125000_10130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	4	3	2	0	1	2	3	3	4	2	1	2	6	6	1	8	0	9	3	7	0	5	0	3	2	14
chr17_10085000_10090000-chr17_10135000_10140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	2	5	3	2	1	3	3	7	3	3	3	1	2	8	6	1	8	1	9	3	7	0	6	0	4	1	14
chr17_10085000_10090000-chr17_10155000_10160000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	4	3	2	1	2	3	3	2	2	3	1	2	6	6	1	7	2	9	3	7	0	6	0	4	1	11
chr17_10085000_10090000-chr17_10175000_10180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	4	3	3	0	1	3	7	3	3	3	1	2	7	6	1	8	2	8	3	7	0	6	0	4	1	14
chr17_10085000_10090000-chr17_10195000_10200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	4	2	3	0	1	2	3	2	3	3	1	2	7	5	2	7	1	9	3	6	0	5	0	3	1	14
chr17_10085000_10090000-chr17_10200000_10205000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	4	4	2	0	2	3	9	3	3	3	1	2	8	5	1	8	2	8	3	7	0	5	0	3	2	14
chr17_10085000_10090000-chr17_10210000_10215000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	1	5	5	3	0	1	3	8	3	4	3	1	2	8	7	1	8	2	9	3	8	0	5	0	4	1	14
chr17_10085000_10090000-chr17_10225000_10230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	4	4	3	0	1	3	6	2	4	3	1	2	8	5	1	7	2	9	3	6	0	5	0	3	1	13
chr17_10085000_10090000-chr17_10275000_10280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	1	5	3	1	0	2	3	5	3	3	3	1	3	7	6	2	8	2	9	3	6	0	6	0	4	2	12
chr17_10085000_10090000-chr17_10280000_10285000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	5	4	2	1	2	3	7	3	3	3	1	3	8	7	1	8	3	8	3	6	0	6	0	4	2	14
chr17_10085000_10090000-chr17_10290000_10295000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	5	1	1	1	2	3	6	2	2	3	1	3	7	6	1	7	1	8	3	6	0	5	0	4	2	11
chr17_10085000_10090000-chr17_10330000_10335000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	3	1	2	2	1	1	1	1	3	3	2	2	7	6	2	6	0	6	4	6	0	4	1	3	1	10
chr17_10085000_10090000-chr17_10335000_10340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	3	1	2	1	1	1	1	1	3	3	2	3	7	6	3	5	1	6	4	6	0	4	0	3	2	9
chr17_10085000_10090000-chr17_10340000_10345000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	3	1	2	2	1	1	1	1	3	3	2	3	7	6	3	6	1	6	4	6	0	4	1	3	2	10
chr17_10085000_10090000-chr17_10380000_10385000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	4	2	1	2	1	0	5	4	1	3	5	7	3	4	0	7	4	4	2	3	3	2	2	9
chr17_10085000_10090000-chr17_10385000_10390000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	4	0	1	1	1	0	5	4	1	3	5	7	3	4	0	7	4	4	2	3	3	1	2	9
chr17_10085000_10090000-chr17_10390000_10395000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	4	1	2	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10085000_10090000-chr17_10400000_10405000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	3	1	1	1	0	4	4	1	4	7	7	3	6	1	7	4	6	2	3	3	1	2	9
chr17_10085000_10090000-chr17_10435000_10440000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	4	4	1	2	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	2	2	2	9
chr17_10085000_10090000-chr17_10475000_10480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	4	2	1	1	1	0	4	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10085000_10090000-chr17_10490000_10495000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	4	2	1	1	1	0	5	4	1	4	7	7	3	5	0	7	4	6	2	3	3	1	2	9
chr17_10085000_10090000-chr17_10505000_10510000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	3	2	1	2	1	0	5	4	1	5	7	7	3	6	1	7	4	6	2	3	2	1	2	9
chr17_10085000_10090000-chr17_10575000_10580000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	3	1	2	1	0	5	4	1	5	6	7	4	5	0	6	4	6	2	3	2	2	2	9
