Column	TrueValue	PredictedValue	squared_err
chr17_0_5000-chr17_655000_660000	3.18651	3.0596	0.0161057	650000
chr17_0_5000-chr17_665000_670000	2.87834	2.90589	0.000759127	660000
chr17_0_5000-chr17_670000_675000	2.81344	2.72122	0.008504	665000
chr17_0_5000-chr17_675000_680000	2.14365	2.72775	0.341172	670000
chr17_0_5000-chr17_685000_690000	2.67109	2.60705	0.00410083	680000
chr17_0_5000-chr17_695000_700000	2.57718	2.48776	0.00799509	690000
chr17_0_5000-chr17_700000_705000	3.05155	2.66557	0.148981	695000
chr17_0_5000-chr17_705000_710000	1.89896	2.13504	0.0557318	700000
chr17_0_5000-chr17_710000_715000	2.90735	2.50753	0.159854	705000
chr17_0_5000-chr17_720000_725000	2.64035	2.65532	0.000224061	715000
chr17_0_5000-chr17_725000_730000	2.48275	2.52251	0.00158083	720000
chr17_0_5000-chr17_730000_735000	2.52684	2.54505	0.000331683	725000
chr17_0_5000-chr17_740000_745000	2.6453	2.36339	0.079476	735000
