Pair	Ctcf_E	Dnase_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me1_E	H3k4me2_E	H3k4me3_E	H3k79me2_E	H3k9ac_E	H3k9me3_E	H4k20me1_E	RAD21_E	TBP_E	Ctcf_P	Dnase_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me1_P	H3k4me2_P	H3k4me3_P	H3k79me2_P	H3k9ac_P	H3k9me3_P	H4k20me1_P	RAD21_P	TBP_P	Ctcf_W	Dnase_W	H3k27ac_W	H3k27me3_W	H3k36me3_W	H3k4me1_W	H3k4me2_W	H3k4me3_W	H3k79me2_W	H3k9ac_W	H3k9me3_W	H4k20me1_W	RAD21_W	TBP_W	Distance	Count
chr17_0_5000-chr17_165000_170000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.582825	0.686715	0.787206	0.379015	1.4581	0.393125	0.750835	1.41325	0.32891	0.536345	1.93045	2.44693	1.56778	0.01	1.77272	1.08085	0.806641	1.15631	1.7578	0.488563	0.528613	0.734861	0.345401	0.461756	1.04423	1.47531	6.81285	0.0741554	160000	1.49342
chr17_0_5000-chr17_170000_175000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.925395	1.15208	0.66089	1.81371	2.92375	0.71384	0.58179	0.61608	0.269695	0.484355	1.02248	2.01575	10.0612	0.01	1.73666	1.06891	0.806052	1.13275	1.74872	0.485671	0.535347	0.755418	0.344901	0.464017	1.07108	1.50476	6.65391	0.0722113	165000	1.69055
chr17_0_5000-chr17_185000_190000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.654295	0.97741	1.34872	1.88976	2.6998	0.99958	1.19549	0.983895	0.50227	0.78486	1.6437	1.6849	6.92281	0.01	1.66422	1.0817	0.837462	1.20607	1.82872	0.507924	0.57728	0.796341	0.349724	0.483917	1.08384	1.55094	6.62892	0.067027	180000	2.52452
chr17_0_5000-chr17_190000_195000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.94147	0.713325	0.68112	0.836825	2.35367	0.55485	0.451095	0.493095	0.897035	0.46752	1.8099	1.3551	5.46086	0.52711	1.63692	1.07888	0.85128	1.22455	1.85226	0.521212	0.593988	0.80141	0.353847	0.49205	1.09898	1.55456	6.63686	0.0654857	185000	2.50039
chr17_0_5000-chr17_195000_200000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.00238	1.7227	0.69724	0.92348	1.46513	0.5099	0.773395	0.681495	0.26383	0.2978	1.16539	1.30885	0.547642	0.01	1.61862	1.06926	0.846802	1.21434	1.86546	0.522097	0.590228	0.793297	0.368141	0.491405	1.11768	1.54931	6.60592	0.0776337	190000	1.11255
chr17_0_5000-chr17_200000_205000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.86496	2.37016	1.11653	0.6023	1.29273	0.907725	1.03885	0.86341	0.5529	0.85663	1.01011	1.4029	4.2848	0.01	1.60282	1.08601	0.842967	1.20689	1.85519	0.521784	0.594924	0.79043	0.365467	0.486441	1.11891	1.54314	6.45058	0.0758995	195000	2.54351
chr17_0_5000-chr17_210000_215000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.72001	0.25688	0.52748	1.0811	1.70762	0.52732	0.54697	0.929595	0.210126	0.39768	0.854485	0.81853	9.24951	0.01	1.55864	1.10639	0.840196	1.18581	1.82523	0.522839	0.603721	0.790721	0.367444	0.493019	1.1125	1.53335	6.34089	0.0850141	205000	1.2363
chr17_0_5000-chr17_220000_225000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.713655	1.7792	0.70639	1.585	2.43589	0.885525	0.69248	0.678895	0.532	0.402965	1.23715	1.7938	2.87996	0.01	1.52185	1.0849	0.83249	1.19591	1.81405	0.523858	0.599246	0.79415	0.363508	0.49252	1.09934	1.50792	6.27563	0.081525	215000	2.32536
chr17_0_5000-chr17_230000_235000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.11963	1.38445	0.90955	0.85399	0.86688	0.450175	0.914145	1.47589	0.34734	0.382275	1.05531	1.49465	3.72172	0.01	1.49775	1.09415	0.83104	1.20351	1.82431	0.54175	0.603712	0.791791	0.373672	0.489355	1.09581	1.5189	6.11607	0.0783461	225000	2.63784
chr17_0_5000-chr17_235000_240000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	2.3835	5.40125	1.52159	0.71475	1.38431	0.70368	1.34781	1.53475	0.52742	0.701125	1.01755	1.0718	10.1813	0.01	1.48953	1.10046	0.832747	1.19591	1.8035	0.539759	0.610461	0.806663	0.373099	0.487027	1.09493	1.51838	6.06402	0.0768604	230000	2.52575
chr17_0_5000-chr17_240000_245000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.70875	1.34205	2.0208	1.97203	2.66365	2.0312	2.28965	3.48455	0.624075	1.25272	1.57915	1.60605	6.02068	0.01	1.50855	1.19196	0.847403	1.18567	1.79458	0.543247	0.626149	0.822154	0.376383	0.491582	1.09329	1.50887	6.15162	0.0754378	235000	3.09204
chr17_0_5000-chr17_245000_250000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.826325	1.06721	1.16201	2.33612	1.9694	1.28345	1.0187	0.61744	0.96563	0.368395	1.71585	1.37205	1.07726	0.01	1.51272	1.19509	0.871849	1.20205	1.81268	0.574246	0.660805	0.87762	0.381543	0.507439	1.10341	1.5109	6.1489	0.0740745	240000	2.17375
chr17_0_5000-chr17_25000_30000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.539745	1.2437	0.647815	1.42674	1.54208	0.40046	0.70936	0.49693	0.21304	0.302731	1.17043	1.43848	7.34673	0.530972	3.04368	1.50643	0.652864	0.86761	1.72833	0.416584	0.437933	0.632455	0.32216	0.419553	0.982432	1.18792	21.4146	0.01	20000	3.06955
chr17_0_5000-chr17_255000_260000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.36	1.76997	4.17315	1.6592	1.1907	0.781975	3.1982	4.94255	1.8872	1.03556	0.964185	1.01093	3.01238	0.01	1.47855	1.18138	0.874116	1.21183	1.80391	0.583412	0.661997	0.870955	0.392582	0.502778	1.107	1.4954	5.93508	0.0715115	250000	2.68736
chr17_0_5000-chr17_265000_270000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.10525	3.60355	1.6764	1.53955	3.26487	1.4819	1.46914	1.2863	0.618195	0.466955	1.6516	1.1088	3.08837	0.51964	1.63826	1.35127	0.97849	1.22166	1.78684	0.625328	0.811149	1.03786	0.469985	0.538224	1.11948	1.4816	5.85612	0.0789101	260000	2.42243
chr17_0_5000-chr17_270000_275000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.4409	1.02485	1.21248	1.97108	1.89376	1.11903	1.29535	1.4707	0.61835	0.684015	1.75015	1.2441	3.22919	0.01	1.6282	1.39376	0.991658	1.22765	1.81473	0.64149	0.823564	1.04255	0.472782	0.536879	1.12952	1.47456	5.8039	0.0872258	265000	0.932153
chr17_0_5000-chr17_290000_295000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.826325	0.862835	0.476895	1.02023	1.47715	1.00507	0.79798	0.498285	0.61105	0.706095	1.2988	1.21834	2.68024	0.01	1.58406	1.36614	0.977963	1.24263	1.78934	0.659572	0.827089	1.03609	0.479767	0.532747	1.17361	1.46311	5.52789	0.0818064	285000	2.55058
chr17_0_5000-chr17_30000_35000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.292575	0.792475	0.898345	0.420065	1.54744	0.40786	0.47369	0.31498	0.2235	0.37156	0.822505	1.14119	10.9851	0.01	2.54289	1.45388	0.651854	0.979436	1.69108	0.413359	0.492218	0.60535	0.300336	0.396189	1.02003	1.23803	18.6011	0.114194	25000	2.87942
chr17_0_5000-chr17_35000_40000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.826205	0.58805	0.572905	0.7845	1.04362	0.25623	0.59814	0.435405	0.212965	0.408505	0.812495	1.40185	2.4668	0.01	2.16784	1.34365	0.692936	0.886208	1.66714	0.412443	0.48913	0.556955	0.28753	0.392084	0.987111	1.22189	17.3317	0.0968286	30000	3.19415
chr17_0_5000-chr17_400000_405000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.02801	1.37045	1.7127	2.45293	2.72658	1.28423	1.33341	0.921185	0.734805	0.475585	1.0532	1.17274	1.58871	0.01	1.17576	1.01417	0.731996	0.928384	1.34282	0.514172	0.625361	0.77193	0.364745	0.410328	0.87821	1.08977	4.05809	0.0618097	395000	2.23753
chr17_0_5000-chr17_40000_45000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.39162	0.341221	0.385945	0.32886	1.04803	0.196545	0.39833	0.25084	0.190565	0.536295	0.89982	1.02862	2.97584	0.01	1.97618	1.23571	0.675789	0.871678	1.57807	0.390127	0.504703	0.539591	0.276878	0.39443	0.962166	1.2476	15.2082	0.0844246	35000	1.65521
chr17_0_5000-chr17_405000_410000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.861345	0.89835	0.657755	0.85627	1.12615	0.442725	1.02245	0.49699	0.4291	0.620065	0.982485	0.873145	0.01	0.01	1.17392	1.01863	0.744255	0.947441	1.36012	0.523798	0.634212	0.773796	0.369371	0.411143	0.880397	1.0908	4.02722	0.0611621	400000	1.43294
chr17_0_5000-chr17_410000_415000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.04344	0.91923	0.92266	1.56118	1.86654	0.671615	0.722675	0.557215	0.48906	0.51431	1.1996	1.3946	3.79019	0.01	1.17006	1.01714	0.743187	0.946316	1.35723	0.522797	0.639005	0.770378	0.370109	0.413723	0.881658	1.08812	3.97763	0.0605304	405000	1.85518
chr17_0_5000-chr17_415000_420000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.710815	1.39867	0.789225	1.1943	2.47512	0.890305	1.05049	0.67884	0.36049	0.568365	1.2491	1.46725	14.0747	0.01	1.16851	1.01595	0.745376	0.953814	1.36344	0.524612	0.640025	0.767779	0.371559	0.414949	0.885535	1.09185	3.97534	0.0599142	410000	1.09887
chr17_0_5000-chr17_420000_425000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.2183	1.3843	0.9046	0.47021	2.10713	1.78856	0.398305	0.744325	0.317115	0.90238	1.14341	1.1974	0.524552	0.01	1.163	1.02056	0.745904	0.956711	1.37683	0.529018	0.64497	0.766707	0.371426	0.416798	0.889915	1.09638	4.09702	0.0593128	415000	1.99672
chr17_0_5000-chr17_425000_430000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.14743	1.41228	0.57295	0.352865	1.6482	1.34587	0.262595	0.860895	0.506265	0.48208	1.35055	1.09238	0.01	0.01	1.16366	1.02489	0.747793	0.95092	1.38553	0.544012	0.642034	0.766441	0.370779	0.422578	0.892933	1.09758	4.05449	0.0587258	420000	2.05495
chr17_0_5000-chr17_435000_440000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.00252	1.2716	0.992395	0.514685	2.17305	1.48999	0.368125	0.737885	0.5082	0.79972	0.980605	1.31127	1.61565	0.01	1.16279	1.03218	0.748533	0.94321	1.39019	0.560054	0.637659	0.767252	0.374679	0.434721	0.901884	1.09783	3.97205	0.0575926	430000	2.09303
chr17_0_5000-chr17_440000_445000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.261	1.79995	1.60085	0.700315	1.80445	3.6289	1.77569	1.22341	0.95095	0.77236	1.78	1.52315	2.22959	0.01	1.16095	1.03493	0.751336	0.938284	1.39919	0.570743	0.634561	0.766915	0.376214	0.438917	0.902789	1.10028	3.94497	0.0570456	435000	1.06138
chr17_0_5000-chr17_445000_450000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.67415	0.91216	1.69968	0.791305	2.10225	1.98512	0.90906	0.631615	0.970235	0.67441	2.07415	1.41215	1.51937	0.01	1.16208	1.04362	0.76099	0.93558	1.40379	0.605494	0.647528	0.772102	0.382745	0.442706	0.912757	1.10508	3.92548	0.056511	440000	1.16746
chr17_0_5000-chr17_450000_455000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.776695	0.513475	0.86405	0.698025	1.83206	1.53491	0.556655	0.66587	0.597825	0.81147	1.01175	1.01503	4.26208	0.01	1.1566	1.04215	0.771537	0.933959	1.41164	0.620996	0.650467	0.770524	0.389346	0.445309	0.925807	1.10854	3.89844	0.0559884	445000	1.06333
chr17_0_5000-chr17_45000_50000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.00242	1.21545	0.71448	1.3117	1.84476	0.365635	0.403965	1.10162	0.49176	0.573285	1.30999	1.4261	2.36278	0.01	1.77811	1.1239	0.639558	0.803826	1.51181	0.365929	0.491406	0.503497	0.266089	0.412163	0.954373	1.22023	13.6791	0.0751215	40000	2.44617
chr17_0_5000-chr17_455000_460000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.919785	1.2476	1.23288	0.81516	1.88064	1.79862	0.60943	0.89824	0.622945	0.573325	1.24469	0.89279	0.511086	0.01	1.15238	1.03627	0.772565	0.931338	1.41631	0.63115	0.649425	0.769361	0.391663	0.449378	0.926762	1.1075	3.90248	0.0554774	450000	1.86747
chr17_0_5000-chr17_465000_470000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	4.12125	0.975865	0.939495	0.69274	1.94374	1.33853	0.493814	0.735195	0.55429	0.519245	0.93628	0.9657	1.03727	0.01	1.16106	1.0444	0.788399	0.923631	1.43614	0.663183	0.653109	0.768759	0.400306	0.457044	0.938611	1.10795	3.82907	0.0544888	460000	2.13394
chr17_0_5000-chr17_470000_475000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.8684	0.489255	0.776185	0.7288	1.6063	1.29365	0.720615	0.74039	0.51863	0.69617	1.50858	1.0293	2.72155	0.01	1.19289	1.04367	0.790023	0.921148	1.4416	0.670445	0.651396	0.768398	0.401961	0.457713	0.938586	1.10642	3.79905	0.0540104	465000	1.64836
chr17_0_5000-chr17_475000_480000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.822535	1.63781	1.48669	0.40072	1.85316	0.935235	0.93732	0.801825	0.743355	0.83899	1.1629	1.4314	3.07447	0.01	1.18944	1.03777	0.789876	0.919102	1.44335	0.677074	0.652133	0.7681	0.403203	0.460249	0.94465	1.1056	3.78759	0.0535422	470000	1.11288
chr17_0_5000-chr17_480000_485000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.6742	0.96841	0.488096	0.745695	1.23029	0.470267	0.40562	0.557215	0.506815	0.243705	1.87793	1.48471	0.01	0.01	1.18558	1.04409	0.797211	0.913645	1.44767	0.679792	0.655135	0.768455	0.406783	0.464236	0.946947	1.10903	3.78008	0.0530838	475000	1.47025
chr17_0_5000-chr17_485000_490000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.879505	1.55986	0.73866	0.515775	1.57564	1.51768	0.854775	1.18331	0.757215	0.733175	1.76695	1.54523	1.58287	0.01	1.18025	1.0433	0.793991	0.911896	1.4454	0.677609	0.652536	0.766255	0.407825	0.461939	0.956645	1.11294	3.74081	0.0526351	480000	1.16505
chr17_0_5000-chr17_495000_500000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	2.06935	0.67848	0.924885	0.301725	0.470865	0.708145	0.463945	0.436755	0.247275	0.60083	0.540715	0.36225	15.9157	0.01	1.17685	1.04694	0.797676	0.904356	1.43563	0.694623	0.660792	0.773795	0.415317	0.469407	0.962055	1.11251	3.68638	0.051765	490000	1.71308
chr17_0_5000-chr17_50000_55000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	0.73452	0.8558	0.834775	1.46646	2.41154	0.713895	0.3041	0.677615	0.297915	0.22158	0.950405	1.6588	1.74835	0.01	1.69192	1.13407	0.647883	0.860256	1.5488	0.365896	0.481691	0.569955	0.291163	0.430065	0.993886	1.2431	12.4218	0.0678858	45000	2.71869
chr17_0_5000-chr17_5000_10000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.628	0.998105	0.679155	0.90177	2.37043	0.3656	0.35124	0.436765	0.39475	0.56836	0.94797	1.4349	2.88305	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	4.58827
chr17_0_5000-chr17_505000_510000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.01716	1.95012	13.1772	3.13126	3.3367	10.9674	9.5422	7.47385	2.04435	4.7863	2.12485	1.69645	2.80245	0.01	1.1881	1.0648	0.868166	0.908337	1.42866	0.776859	0.721495	0.802946	0.420068	0.492914	0.95969	1.10792	3.80487	0.0509297	500000	2.18462
chr17_0_5000-chr17_530000_535000	1.44805	0.854155	0.66082	1.30949	2.26165	0.32336	0.65661	0.79941	0.4574	0.297805	0.98969	1.26439	3.44076	0.01	1.76545	0.8696	1.06186	0.85848	2.724	2.69341	0.45679	0.436705	0.796155	0.853755	1.20014	0.77216	2.35277	0.01	1.17877	1.07158	0.988706	0.922261	1.46511	0.911527	0.804964	0.858824	0.447308	0.54518	0.984362	1.11751	3.70627	0.0489806	525000	1.59369
